Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
EQBK,"Equity Bancshares, Inc.",25.89,407524574.13,,2015.0,Finance,Major Banks,https://www.nasdaq.com/symbol/eqbk,
ERIC,Ericsson,9.62,3073627922.04,319503942.0,,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/eric,
ERIE,Erie Indemnity Company,266.86,13954074174.48,,,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/erie,
ERYP,Erytech Pharma S.A.,6.67,12743695.33,1910599.0,2017.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/eryp,
ESCA,"Escalade, Incorporated",11.5,166422204.0,,,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/esca,
ESPR,"Esperion Therapeutics, Inc.",45.51,1225013422.56,,2013.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/espr,
ESQ,"Esquire Financial Holdings, Inc.",24.3,183045168.9,,2017.0,Finance,Commercial Banks,https://www.nasdaq.com/symbol/esq,
ESSA,"ESSA Bancorp, Inc.",14.87,169650863.45,,,Finance,Banks,https://www.nasdaq.com/symbol/essa,
EPIX,ESSA Pharma Inc.,2.32,14641747.36,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/epix,
ESTA,Establishment Labs Holdings Inc.,23.01,469616221.23,,2018.0,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/esta,
ESTR,"Estre Ambiental, Inc.",0.9202,47102030.7864,,,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/estr,
ESTRW,"Estre Ambiental, Inc.",0.031,0.0,,,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/estrw,
VBND,ETF Series Solutions Trust Vident Core U.S. Bond Strategy Fund,49.6,426560000.0,,,,,https://www.nasdaq.com/symbol/vbnd,
VUSE,ETF Series Solutions Trust Vident Core US Equity ETF,31.86,484272000.0,,,,,https://www.nasdaq.com/symbol/vuse,
VIDI,ETF Series Solutions Trust Vident International Equity Fund,24.36,0.0,,,,,https://www.nasdaq.com/symbol/vidi,
ETON,"Eton Pharmaceuticals, Inc.",8.3,146311802.4,,2018.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/eton,
ETSY,"Etsy, Inc.",64.6,7763911335.6,,2015.0,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/etsy,
CLWT,Euro Tech Holdings Company Limited,4.17,8598160.53,,1997.0,Consumer Durables,Diversified Electronic Products,https://www.nasdaq.com/symbol/clwt,
EDRY,EuroDry Ltd.,8.1428,18564932.575999998,,,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/edry,
EEFT,"Euronet Worldwide, Inc.",168.41,8751262460.71,,1997.0,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/eeft,
ESEA,Euroseas Ltd.,0.65,8135169.25,,,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/esea,
EVLO,"Evelo Biosciences, Inc.",7.46,239045084.42,,2018.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/evlo,
EVBG,"Everbridge, Inc.",99.22,3266893907.2,,2016.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/evbg,
EVK,"Ever-Glory International Group, Inc.",2.97,43956415.8,,,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/evk,
EVER,"EverQuote, Inc.",14.23,362813601.24,,2018.0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/ever,
MRAM,"Everspin Technologies, Inc.",6.21,106388353.8,,2016.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/mram,
EVLV,EVINE Live Inc.,0.4299,32796226.6764,,,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/evlv,
