Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
SRAX,"Social Reality, Inc.",4.27,52717513.94,,,Technology,Advertising,https://www.nasdaq.com/symbol/srax,
SCKT,"Socket Mobile, Inc.",2.37,14218006.83,,,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/sckt,
GIGE,SoFi Gig Economy ETF,20.2801,8112040.0,,,,,https://www.nasdaq.com/symbol/gige,
SOHU,Sohu.com Limited ,13.02,514720154.76,39533038.0,,Technology,EDP Services,https://www.nasdaq.com/symbol/sohu,
SLRC,Solar Capital Ltd.,20.84,880715613.84,,2010.0,,,https://www.nasdaq.com/symbol/slrc,
SUNS,Solar Senior Capital Ltd.,16.62,266646875.7,,,,,https://www.nasdaq.com/symbol/suns,
SEDG,"SolarEdge Technologies, Inc.",63.08,2999308159.04,,2015.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/sedg,
SLNO,"Soleno Therapeutics, Inc.",2.55,81030289.2,,2014.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/slno,
SLNOW,"Soleno Therapeutics, Inc.",0.15,0.0,,2014.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/slnow,
SLGL,Sol-Gel Technologies Ltd.,9.87,187036184.16,,2018.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/slgl,
SLDB,Solid Biosciences Inc.,4.33,153306460.17,,2018.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/sldb,
SNGX,"Soligenix, Inc.",1.245,22976343.03,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/sngx,
SNGXW,"Soligenix, Inc.",0.18,0.0,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/sngxw,
SOLY,"Soliton, Inc.",12.69,190472598.09,,2019.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/soly,
SONM,"Sonim Technologies, Inc.",13.33,271188959.14,,2019.0,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/sonm,
SNOA,"Sonoma Pharmaceuticals, Inc.",6.6902,8899685.3814,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/snoa,
SNOAW,"Sonoma Pharmaceuticals, Inc.",0.004,0.0,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/snoaw,
